"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"FGF2",1423.14,1282.42,1234.57,1265.95,2926.59,3126.13,3093.79,144.32,76.75,369.42,398.4,433.35,5814.92,3661.87,4715.48,1648.16,1262.1,48.08,87.65
"ALX3",23,21,14,34,48.02,71,67,98.03,96,125.13,131.01,95.19,412.43,522,434.64,210,146.08,59,88
"MARC1",481.07,489.81,443.39,444.84,1166.87,1493.02,1475.81,708,717.16,46,18,46,37,42.17,65.49,165,260.31,491.83,692.62
"TIMP4",186.91,191,191,180,302,451.11,353,10,12,2,2,3,70,123,104,0,0,7,4
"PRPF18",94,95.58,96,81,360,454,420,499,405.17,400,431,487.75,480,394,426,259,387,287.42,377
"FECH",534.31,551.74,479.34,515.75,1048.95,1234.22,1294.54,1474.59,1134.84,637.7,841.04,565.41,949.87,1054.54,1072.58,685.81,1045.54,817.87,1191.47
"HECA",103.53,100.05,92.18,92.25,151.04,148.52,199.72,270.57,189.58,1377.81,1488.02,1408.59,559.26,660.26,757.42,740.37,565.93,513.67,762.41
"OR52B2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"TCF7",120.1,109.8,107.06,119.1,271.03,265.55,321.16,1004.26,729.82,129.72,140.21,72.95,386.13,477.64,427.46,272.22,334.81,164.12,273.1
"MYBPH",0,0,0,0,0,0,0,1,0,0,1,0,3,11,5,6,2,0,0
"CCDC92",7,10,4,4,47,50,46,1868,1659.43,786.95,827.97,1161.58,1594.45,1926,1718.25,630.99,811.98,846,1493.04
"AGAP5",66.04,36.1,38.01,77.38,129.46,148.48,121.32,183.75,217.74,146.02,144.34,121.86,101.06,109.26,93.37,523.23,401.98,294.37,207.03
"CD209",15.05,16.59,15.79,18.95,38.07,39.93,45.22,19.66,32.19,14.39,13.83,22.33,14.3,11.22,7.91,50.94,33.85,28.81,25.07
"ZNF611",84.72,72.28,69.68,69.68,217.25,228.3,222.9,1327.44,753.35,698.14,584.38,756.04,163.15,179.73,178.47,262.59,314.58,721.4,881.46
"KANSL2",539.69,524,569,512,1284.6,1611,1480.01,1072.46,960.97,807.2,788.84,869.75,520,548.2,556.99,1096.93,1412.77,608,774
"NR2C1",315.24,285.34,271.2,275.68,835.04,853.14,987.63,1075.15,1055.77,939.76,905.42,950.19,561.07,635.12,532.06,2570.1,2386.27,2076.76,1805.55
"HERPUD2",122.13,152.32,142.24,137.87,403.7,508.27,534.56,876.6,599.46,1387.08,1487.49,1195.67,759.23,761.19,903.58,1238.65,1138.44,1128.88,1402.47
"ZNF134",647.1,662,567.07,618,1540,1741.02,1579.35,1123.01,849.82,861.58,875.01,977.18,347,338.13,383.8,779.56,909.62,386.05,631.19
"TMED2",2451.07,2374.39,2245.46,2237.51,6296.98,7106.73,6980.47,7979.04,7080.5,4389.81,4198.59,5413.28,7100.16,6861.12,7276.6,2258.79,3994.11,4093.35,6063.69
"TSPAN1",0,0,1,3,0,0,0,1,2,5,5,5,13,17,19,2,1,11,21
"PGS1",451.84,406.17,394.24,361.9,945.71,925.7,1101.89,1260.75,1214.11,1527.54,1572.18,1353.04,738.77,801.61,736.43,1298.1,1177.19,1405.14,1511.24
"GINS2",818.21,729,808,776,2018.63,2408.1,2467,849,850,80,85,73,220,178,193,914,2103.74,332,513
"CCDC34",198,200.99,199,167,633,972.99,791.9,1008,842,218,252,139.91,169,210,154,544,684,171,350
"PRKCDBP",111,116,105,94,526,794.99,590,2033.08,2069.43,1259,1855.97,1505.98,4019.96,4620.59,4050.56,204,249.02,274,350.98
"SEPT8",561.67,516.85,497.17,447.3,1709.33,1910.65,2042,2685.4,2285.2,1344,1584.96,1425.65,2281.96,2267.87,2325.84,1902.76,1900.87,9724.75,14387.99
"ANKRD46",158,134,157,146.06,568,688.1,676.51,662.8,511.18,742.34,712.31,541.62,111,119.08,116.06,563.81,638.52,415.21,677.99
"LPHN2",2352.12,2252.97,2148.9,2194.33,4016.2,5589.73,5542.21,3520,2253.98,3943.34,4201.74,3996.65,732,683.01,816.31,10104.79,11540.83,7532.22,8585.67
"RAB6C",0,0,0,3.32,0,3.13,4.78,20.8,5.34,6.85,2.31,3.54,0,0,0,0,2.36,137.43,227.66
"ATP6V1E1",751.01,709,710,713,1924,2260.58,2180.92,3366.13,3379.67,2170.57,2466.22,2789.13,4390.9,3644.11,4069.97,1079,1471,1960,3001.17
"CPSF1",1660.1,1625.94,1572.86,1456.7,4802.15,4908.94,4900.07,8177.33,8297.88,5833.18,5848.75,5535.03,2849.72,2882.93,2634,8739.12,7713.95,3072.97,3585.18
"SCAPER",62.05,70.99,62.16,51,186.04,219.05,208.03,214.77,195.81,401.54,363.43,295,190.14,179.99,264.11,540.79,364.14,315.91,597.26
"TDRD12",11,6,6,11,6,15,8,0,0,1,1,0,2,1,0,0,4,1,1
